Starting KVS server on :8080
get/s 0.00
put/s 0.00
aborts/s 0.00
ops/s 0.00

get/s 0.00
put/s 0.00
aborts/s 0.00
ops/s 0.00

get/s 0.00
put/s 0.00
aborts/s 0.00
ops/s 0.00

get/s 0.00
put/s 0.00
aborts/s 0.00
ops/s 0.00

get/s 0.00
put/s 0.00
aborts/s 0.00
ops/s 0.00

get/s 69454.28
put/s 1590.85
aborts/s 87.99
ops/s 71045.13

get/s 74584.09
put/s 1365.30
aborts/s 279.65
ops/s 75949.39

get/s 76375.46
put/s 1478.56
aborts/s 545.47
ops/s 77854.02

get/s 77094.53
put/s 1424.77
aborts/s 729.88
ops/s 78519.30

get/s 77249.15
put/s 1449.83
aborts/s 897.90
ops/s 78698.98

get/s 75321.76
put/s 1413.79
aborts/s 1067.84
ops/s 76735.55

get/s 75186.64
put/s 1340.65
aborts/s 1207.69
ops/s 76527.30

get/s 75605.51
put/s 1360.81
aborts/s 1350.81
ops/s 76966.32

get/s 69871.19
put/s 1241.88
aborts/s 1343.87
ops/s 71113.07

get/s 78557.31
put/s 1306.71
aborts/s 1603.64
ops/s 79864.02


Shutting down server...
key: 545773, value: 
key: 192364, value: 
key: 56448, value: 
key: 830422, value: 
key: 446009, value: 
key: 382127, value: 
key: 153671, value: 
key: 109955, value: 
key: 190236, value: 
key: 466740, value: 
key: 858866, value: 
key: 965193, value: 
key: 14031, value: 
key: 363456, value: 
key: 3954, value: 
key: 73988, value: 
key: 25220, value: 
key: 187319, value: 
key: 4498, value: 
key: 15661, value: 
key: 213456, value: 
key: 21888, value: 
key: 26216, value: 
key: 857360, value: 
key: 175765, value: 
key: 400021, value: 
key: 488698, value: 
key: 664708, value: 
key: 780480, value: 
key: 815311, value: 
key: 3369, value: 
key: 681042, value: 
key: 109568, value: 
key: 833588, value: 
key: 425912, value: 
key: 386273, value: 
key: 17010, value: 
key: 425617, value: 
key: 296880, value: 
key: 603453, value: 
key: 293759, value: 
key: 39177, value: 
key: 385410, value: 
key: 11614, value: 
key: 612422, value: 
key: 8452, value: 
key: 152007, value: 
key: 43259, value: 
key: 130852, value: 
key: 19164, value: 
key: 37719, value: 
key: 19500, value: 
key: 810855, value: 
key: 8342, value: 
key: 26689, value: 
key: 479779, value: 
key: 940176, value: 
key: 56174, value: 
key: 266757, value: 
key: 72190, value: 
key: 377341, value: 
key: 36796, value: 
key: 227226, value: 
key: 11935, value: 
key: 288896, value: 
key: 901458, value: 
key: 806287, value: 
key: 266225, value: 
key: 747425, value: 
key: 106048, value: 
key: 109647, value: 
key: 15441, value: 
key: 303553, value: 
